timestamp_utc,gateway,unit,volt_v,current_a,power_kw,freq_hz,pf,kwh_import,ok,error
2025-12-13T17:14:25Z,192.168.0.10:15021,0,,,,,,,False,[Errno 65] No route to host
2025-12-13T17:14:25Z,192.168.0.10:15022,0,,,,,,,False,[Errno 65] No route to host
2025-12-13T17:14:25Z,192.168.0.10:15023,0,,,,,,,False,[Errno 65] No route to host
2025-12-13T17:14:25Z,192.168.0.10:15024,0,,,,,,,False,[Errno 65] No route to host
2025-12-13T18:07:57Z,192.168.222.1:501,0,,,,,,,False,[Errno 61] Connection refused
2025-12-13T18:07:58Z,192.168.0.10:15022,0,,,,,,,False,timed out
2025-12-13T18:08:00Z,192.168.0.10:15023,0,,,,,,,False,timed out
2025-12-13T18:08:02Z,192.168.0.10:15024,0,,,,,,,False,timed out
2025-12-13T18:08:19Z,192.168.222.1:502,1,231.420,0.050,0.007,50.000,0.630,1611.71,True,
2025-12-13T18:08:19Z,192.168.222.1:502,2,228.400,0.055,0.005,50.000,0.410,674.04,True,
2025-12-13T18:08:19Z,192.168.222.1:502,3,229.420,0.045,0.004,50.000,0.400,586.18,True,
2025-12-13T18:08:19Z,192.168.222.1:502,4,231.360,0.000,0.000,50.000,0.000,109.56,True,
2025-12-13T18:08:19Z,192.168.222.1:502,5,228.570,0.053,0.004,50.000,0.330,196.39,True,
2025-12-13T18:08:19Z,192.168.222.1:502,6,231.240,0.048,0.005,50.000,0.450,137.03,True,
2025-12-13T18:08:19Z,192.168.222.1:502,7,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,8,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,9,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,10,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,11,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,12,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,13,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,14,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,15,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,16,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,17,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,18,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,19,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,20,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,21,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,22,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,23,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,24,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,25,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,26,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,27,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,28,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,29,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,30,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,31,,,,,,,False,exception 0x0B
2025-12-13T18:08:19Z,192.168.222.1:502,32,,,,,,,False,exception 0x0B
2025-12-13T18:08:41Z,192.168.0.10:15022,0,,,,,,,False,timed out
2025-12-13T18:08:43Z,192.168.0.10:15023,0,,,,,,,False,timed out
2025-12-13T18:08:45Z,192.168.0.10:15024,0,,,,,,,False,timed out
2025-12-13T18:10:27Z,192.168.1.100:502,1,228.710,0.000,0.000,50.000,0.000,0.00,True,
2025-12-13T18:10:27Z,192.168.1.100:502,2,231.380,0.000,0.000,50.000,0.000,0.00,True,
2025-12-13T18:10:27Z,192.168.1.100:502,3,229.750,0.000,0.000,50.000,0.000,0.00,True,
2025-12-13T18:10:27Z,192.168.1.100:502,4,231.490,0.000,0.000,50.000,0.000,0.00,True,
2025-12-13T18:10:27Z,192.168.1.100:502,5,229.440,0.000,0.000,50.000,0.000,0.00,True,
2025-12-13T18:10:27Z,192.168.1.100:502,6,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,7,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,8,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,9,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,10,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,11,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,12,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,13,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,14,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,15,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,16,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,17,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,18,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,19,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,20,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,21,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,22,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,23,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,24,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,25,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,26,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,27,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,28,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,29,,,,,,,False,exception 0x0B
2025-12-13T18:10:27Z,192.168.1.100:502,30,,,,,,,False,exception 0x0B
